product_id,product_name,category,unit_price
73,Producto_73,Deportes,104313.5
74,Producto_74,Deportes,132285.24
75,Producto_75,Ropa,112179.3
76,Producto_76,Electrónica,9681.01
77,Producto_77,Ropa,27364.6
78,Producto_78,Electrónica,54414.12
79,Producto_79,Deportes,137448.21
80,Producto_80,Alimentos,139027.16
81,Producto_81,Ropa,103158.63
82,Producto_82,Deportes,1038.56
83,Producto_83,Hogar,54632.46
84,Producto_84,Hogar,35674.75
85,Producto_85,Hogar,55347.77
86,Producto_86,Alimentos,22895.56
87,Producto_87,Alimentos,58267.76
88,Producto_88,Electrónica,141579.35
89,Producto_89,Ropa,72550.61
90,Producto_90,Deportes,98824.53
91,Producto_91,Ropa,4187.77
92,Producto_92,Deportes,142894.55
93,Producto_93,Alimentos,71293.59
94,Producto_94,Electrónica,88174.11
95,Producto_95,Hogar,26339.71
96,Producto_96,Deportes,142142.73
97,Producto_97,Ropa,78117.92
98,Producto_98,Alimentos,139963.12
99,Producto_99,Ropa,89664.54
100,Producto_100,Alimentos,78090.42
101,Producto_101,Electrónica,2863.25
102,Producto_102,Electrónica,140092.15
103,Producto_103,Hogar,91942.53
104,Producto_104,Ropa,88509.43
105,Producto_105,Deportes,90822.83
106,Producto_106,Deportes,148890.93
107,Producto_107,Alimentos,124557.76
108,Producto_108,Alimentos,129395.98
109,Producto_109,Hogar,70026.18
110,Producto_110,Alimentos,134564.4
111,Producto_111,Deportes,103360.01
112,Producto_112,Hogar,139691.87
113,Producto_113,Ropa,51041.79
114,Producto_114,Ropa,70586.81
115,Producto_115,Alimentos,149911.2
116,Producto_116,Hogar,59671.03
117,Producto_117,Electrónica,77872.8
118,Producto_118,Hogar,140086.4
119,Producto_119,Electrónica,80447.97
120,Producto_120,Ropa,84197.72
121,Producto_121,Ropa,32256.46
122,Producto_122,Hogar,54016.19
123,Producto_123,Alimentos,59826.04
124,Producto_124,Hogar,92014.22
125,Producto_125,Deportes,111184.87
126,Producto_126,Hogar,45796.63
127,Producto_127,Ropa,99238.9
128,Producto_128,Electrónica,109410.59
129,Producto_129,Deportes,33195.01
130,Producto_130,Deportes,63692.48
131,Producto_131,Hogar,78858.95
132,Producto_132,Hogar,92419.43
133,Producto_133,Hogar,101483.75
134,Producto_134,Ropa,61852.15
135,Producto_135,Electrónica,34370.3
136,Producto_136,Electrónica,139657.11
137,Producto_137,Hogar,9227.22
138,Producto_138,Ropa,46546.96
139,Producto_139,Deportes,63945.79
140,Producto_140,Alimentos,149488.75
141,Producto_141,Alimentos,28734.97
142,Producto_142,Ropa,73653.4
143,Producto_143,Ropa,6496.6
144,Producto_144,Alimentos,91884.5
145,Producto_145,Electrónica,12739.04
146,Producto_146,Ropa,85159.39
147,Producto_147,Electrónica,83690.46
148,Producto_148,Electrónica,73537.8
149,Producto_149,Deportes,15397.08
150,Producto_150,Deportes,50006.47
151,Producto_151,Hogar,54738.05
152,Producto_152,Electrónica,55667.71
153,Producto_153,Ropa,96650.33
154,Producto_154,Ropa,106150.08
155,Producto_155,Deportes,102565.89
156,Producto_156,Alimentos,52462.78
157,Producto_157,Deportes,65636.86
158,Producto_158,Ropa,56001.29
159,Producto_159,Hogar,81257.43
160,Producto_160,Hogar,82090.41
161,Producto_161,Electrónica,133494.22
162,Producto_162,Hogar,124220.99
163,Producto_163,Deportes,95033.73
164,Producto_164,Electrónica,57547.81
165,Producto_165,Deportes,30849.34
166,Producto_166,Ropa,68895.71
167,Producto_167,Electrónica,116579.61
168,Producto_168,Electrónica,88227.36
169,Producto_169,Alimentos,44920.83
170,Producto_170,Alimentos,100893.29
171,Producto_171,Ropa,67446.75
172,Producto_172,Deportes,40155.81
173,Producto_173,Hogar,19583.37
174,Producto_174,Electrónica,37333.05
175,Producto_175,Electrónica,66474.81
176,Producto_176,Hogar,108612.29
177,Producto_177,Electrónica,77667.76
178,Producto_178,Alimentos,41139.43
179,Producto_179,Alimentos,55499.79
180,Producto_180,Ropa,65246.51
181,Producto_181,Alimentos,107769.85
182,Producto_182,Electrónica,51896.55
183,Producto_183,Ropa,28136.73
184,Producto_184,Ropa,28363.68
185,Producto_185,Alimentos,21753.22
186,Producto_186,Deportes,35982.82
187,Producto_187,Electrónica,82023.82
188,Producto_188,Hogar,20758.14
189,Producto_189,Deportes,63083.57
190,Producto_190,Hogar,91725.95
191,Producto_191,Electrónica,85675.51
192,Producto_192,Electrónica,96012.88
193,Producto_193,Hogar,135874.15
194,Producto_194,Deportes,124279.09
195,Producto_195,Electrónica,137745.1
196,Producto_196,Deportes,27959.53
197,Producto_197,Hogar,99744.63
198,Producto_198,Ropa,135974.39
199,Producto_199,Ropa,37576.13
200,Producto_200,Deportes,25781.66
